	PayCoin	PriceCST	TokenCST	PriceAA	TokenAA	Total Value
2020-06-24 17:55:00	5.0000E+22	2.2200E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:00:00	5.0000E+22	2.2040E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:06:25	5.0000E+22	2.2200E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:12:50	5.0000E+22	2.2270E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:19:15	5.0000E+22	2.2170E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:25:40	5.0000E+22	2.2240E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:32:05	5.0000E+22	2.2070E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:38:30	5.0000E+22	2.2060E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:44:55	5.0000E+22	2.2080E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:51:20	5.0000E+22	2.2080E+19	0.0000E+00		0.0000E+00	
2020-06-25 09:57:45	5.0000E+22	2.1800E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:04:10	5.0000E+22	2.1960E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:10:35	5.0000E+22	2.1890E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:17:00	5.0000E+22	2.1940E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:23:25	5.0000E+22	2.2140E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:29:50	5.0000E+22	2.2050E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:36:15	5.0000E+22	2.2050E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:42:40	5.0000E+22	2.2210E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:49:05	5.0000E+22	2.2030E+19	0.0000E+00		0.0000E+00	
2020-06-25 10:55:30	5.0000E+22	2.2150E+19	0.0000E+00		0.0000E+00	
2020-06-25 11:01:55	5.0000E+22	2.2080E+19	0.0000E+00		0.0000E+00	
2020-06-25 11:08:20	5.0000E+22	2.2100E+19	0.0000E+00		0.0000E+00	
2020-06-25 11:14:45	2.4926E+22	2.2090E+19	1.1351E+21		0.0000E+00	
2020-06-25 11:21:10	2.4926E+22	2.1880E+19	1.1351E+21		0.0000E+00	
2020-06-25 11:27:35	2.4926E+22	2.1950E+19	1.1351E+21		0.0000E+00	
2020-06-25 11:34:00	2.4926E+22	2.1980E+19	1.1351E+21		0.0000E+00	
2020-06-25 11:40:25	2.4926E+22	2.2040E+19	1.1351E+21		0.0000E+00	
2020-06-25 11:46:50	2.4926E+22	2.2820E+19	1.1351E+21		0.0000E+00	
2020-06-25 11:53:15	2.4926E+22	2.3150E+19	1.1351E+21		0.0000E+00	
2020-06-25 11:59:40	2.4926E+22	2.3220E+19	1.1351E+21		0.0000E+00	
2020-06-25 12:06:05	2.4926E+22	2.3220E+19	1.1351E+21		0.0000E+00	
2020-06-25 12:12:30	2.4926E+22	2.3150E+19	1.1351E+21		0.0000E+00	
2020-06-25 12:18:55	2.4926E+22	2.3170E+19	1.1351E+21		0.0000E+00	
2020-06-25 12:25:20	2.4926E+22	2.3150E+19	1.1351E+21		0.0000E+00	
2020-06-25 12:31:45	2.4926E+22	2.3260E+19	1.1351E+21		0.0000E+00	
2020-06-25 12:38:10	2.4926E+22	2.3080E+19	1.1351E+21		0.0000E+00	
2020-06-25 12:44:35	2.4926E+22	2.3150E+19	1.1351E+21		0.0000E+00	
2020-06-25 12:51:00	2.4926E+22	2.3050E+19	1.1351E+21		0.0000E+00	
