	TokenFSS
290	2463130000000000000000
291	2478280000000000000000
292	2487699700000000000000
293	2577250000000000000000
294	2525100100000000000000
295	2520633100000000000000
296	2502664800000000000000
297	2468592000000000000000
298	2485249800000000000000
299	2479870000000000000000
300	2491420100000000000000
301	2490000000000000000000
302	2462499700000000000000
303	2436000100000000000000
304	2443999700000000000000
305	2423648800000000000000
306	2457500000000000000000
307	2463899700000000000000
308	2463999800000000000000
309	2515000000000000000000
310	2495000200000000000000
311	2507530300000000000000
312	2512999900000000000000
313	2503812400000000000000
314	2471492200000000000000
315	2489900000000000000000
316	2496580000000000000000
317	2500000200000000000000
318	2489188800000000000000
319	2463000000000000000000
320	2484117900000000000000
321	2496949300000000000000
322	2504995900000000000000
323	2483130000000000000000
324	2485085700000000000000
325	2511265000000000000000
326	2515000000000000000000
327	2514000000000000000000
328	2535130000000000000000
329	2527870000000000000000
330	2527643100000000000000
331	2520100000000000000000
332	2511372200000000000000
333	2495000000000000000000
334	2470100700000000000000
335	2427000000000000000000
336	2392999500000000000000
337	2414929700000000000000
338	2428430000000000000000
339	2392494500000000000000
340	2398000000000000000000
341	2419000000000000000000
342	2400000100000000000000
343	2394998700000000000000
344	2374300000000000000000
345	2376418400000000000000
346	2388510000000000000000
347	2399560600000000000000
348	2397202400000000000000
349	2391999900000000000000
350	2375000000000000000000
351	2325000000000000000000
352	2341053100000000000000
353	2337530000000000000000
354	2313400200000000000000
355	2324247000000000300000
356	2343150000000000000000
357	2311270000000000000000
358	2287340000000000000000
359	2299870000000000000000
360	2333541000000000000000
361	2360000000000000000000
362	2348480900000000000000
363	2350999000000000000000
364	2380853100000000000000
365	2405000000000000000000
366	2445000000000000000000
367	2397500100000000000000
368	2423640000000000000000
369	2409855000000000000000
370	2373076900000000000000
371	2363195000000000000000
372	2364890000000000000000
373	2375620000000000000000
374	2361756700000000000000
375	2361998500000000000000
376	2344382500000000000000
377	2338936600000000000000
378	2347999400000000000000
379	2330009100000000000000
380	2356810000000000000000
381	2360500100000000000000
382	2354130200000000000000
383	2355000100000000000000
384	2339730000000000000000
385	2346000000000000000000
386	2361950000000000000000
387	2361490000000000000000
388	2338770000000000000000
389	2303600000000000000000
390	2294900000000000000000
391	2289898900000000000000
392	2295001000000000000000
393	2235100000000000000000
394	2196000000000000000000
395	2155000000000000000000
396	2195000000000000000000
397	2169000000000000000000
398	2196670000000000000000
399	2247830000000000000000
400	2208000000000000000000
401	2200730000000000000000
402	2186876000000000000000
403	2175000000000000000000
404	2112999900000000000000
405	2149999800000000000000
406	2118959900000000000000
407	2088950100000000000000
408	2093000000000000000000
409	2137273600000000000000
410	2187899000000000000000
411	2164900000000000000000
412	2148000000000000000000
413	2141590600000000000000
414	2135570100000000000000
415	2118250800000000000000
416	2125000000000000000000
417	2122586200000000000000
418	2145000000000000000000
419	2155100000000000000000
420	2182663800000000000000
421	2194540000000000000000
422	2164400200000000000000
423	2134987700000000000000
424	2161999400000000000000
425	2159840300000000000000
426	2155999900000000000000
427	2162923100000000000000
428	2151365800000000000000
429	2185000000000000000000
430	2168700000000000000000
431	2186380000000000000000
432	2184548800000000000000
433	2198697500000000000000
434	2207567900000000000000
435	2195000000000000000000
436	2216999900000000000000
437	2205979000000000000000
438	2171380000000000000000
439	2170578999999999700000
440	2179850000000000000000
441	2180000000000000000000
442	2160000000000000000000
443	2154000000000000000000
444	2147393800000000000000
445	2158500100000000000000
446	2147081800000000000000
447	2153867600000000000000
448	2152204300000000000000
449	2154000000000000000000
450	2151989900000000000000
451	2150024000000000000000
452	2141999300000000000000
453	2115000000000000000000
454	2112000000000000000000
455	2123469300000000000000
456	2118984100000000000000
457	2104090000000000000000
458	2101609800000000000000
459	2099999100000000000000
460	2101521000000000000000
461	2105034300000000000000
462	2086100000000000000000
463	2087000000000000000000
464	2063999900000000000000
465	2040000000000000000000
466	1967000000000000000000
467	1925000000000000000000
468	1904000000000000000000
469	1902000000000000000000
470	1939000000000000000000
471	1931899900000000000000
472	1914120000000000000000
473	1906830000000000000000
474	1886500000000000000000
475	1847000000000000000000
476	1814900000000000000000
477	1840786700000000000000
478	1875000300000000000000
479	1848000000000000000000
480	1814137200000000000000
481	1733700000000000000000
482	1745000000000000000000
483	1725000000000000000000
484	1583976800000000000000
485	1660737999999999800000
486	1627000000000000000000
487	1771248700000000000000
488	1745000000000000000000
489	1769500100000000000000
490	1875100000000000000000
491	1786000000000000000000
492	1760004000000000000000
493	1745000000000000000000
494	1777080100000000000000
495	1743999800000000000000
496	1709020000000000000000
497	1645000000000000000000
498	1685000100000000000000
499	1680000000000000000000
500	1713190100000000000000
501	1690940500000000000000
502	1677400200000000000000
503	1645000000000000000000
504	1636910000000000000000
505	1685720300000000000000
506	1750527999999999800000
507	1728586900000000000000
508	1762979900000000000000
509	1782964400000000000000
510	1810000100000000000000
511	1821000100000000000000
512	1785000000000000000000
513	1827002500000000000000
514	1790000100000000000000
515	1793005900000000000000
516	1824900000000000000000
517	1809999900000000000000
518	1842999000000000000000
519	1940520000000000000000
520	1965809900000000000000
521	1970000000000000000000
522	1892749900000000000000
523	1900200000000000000000
524	1973154000000000000000
525	1987341000000000100000
526	1946000800000000000000
527	1964100000000000000000
528	1964889300000000000000
529	1994733500000000000000
530	1933214200000000000000
531	1920008800000000000000
532	1876500000000000000000
533	1855000000000000000000
534	1887993100000000000000
535	1852500600000000000000
536	1865000000000000000000
537	1885000000000000000000
538	1865000000000000000000
539	1857200000000000000000
540	1859399900000000000000
541	1778683700000000000000
542	1799770000000000000000
543	1733000000000000000000
544	1765721700000000000000
545	1765999900000000000000
546	1805100000000000000000
547	1781298700000000000000
548	1827888000000000000000
549	1828438200000000000000
550	1805000000000000000000
551	1766864300000000000000
552	1777280000000000000000
553	1783971300000000000000
554	1798805800000000000000
555	1795015200000000000000
556	1800633200000000000000
557	1808000000000000000000
558	1787990700000000000000
559	1795000000000000000000
560	1787899600000000000000
561	1785146300000000000000
562	1715250000000000000000
563	1730210000000000000000
564	1699900200000000000000
565	1676003000000000000000
566	1647504900000000000000
567	1670000000000000000000
568	1721100800000000000000
569	1697360000000000000000
570	1691810000000000000000
571	1721016300000000000000
572	1725000000000000000000
573	1750800100000000000000
574	1748272600000000000000
575	1706911500000000000000
576	1674332999999999900000
577	1670743300000000000000
578	1686000000000000000000
579	1665000000000000000000
580	1664990000000000000000
581	1632040000000000000000
582	1623000000000000000000
583	1625000000000000000000
584	1639620900000000000000
585	1631999800000000000000
586	1609589200000000000000
587	1588336900000000000000
588	1596650000000000000000
589	1565015600000000000000
590	1573999000000000000000
591	1599731400000000000000
592	1578000000000000000000
593	1599493400000000000000
594	1551227800000000000000
595	1565790000000000000000
596	1545000000000000000000
597	1504437999999999900000
598	1477000000000000000000
599	1487994900000000000000
600	1499086400000000000000
601	1474997800000000000000
602	1460761300000000000000
603	1414000000000000000000
604	1446636800000000000000
605	1393401100000000000000
606	1367200000000000000000
607	1354000000000000000000
608	1279000000000000000000
609	1225184900000000000000
610	1222500000000000000000
611	1375000000000000000000
612	1330532300000000000000
613	1350000000000000000000
614	1444611100000000000000
615	1414100000000000000000
616	1361800000000000000000
617	1291999500000000000000
618	1321960000000000000000
619	1350000000000000000000
620	1393989000000000000000
